cand,mean_f1,std_f1,max_depth,min_samples_leaf,min_samples_split,max_features,class_weight,n_estimators,random_state
100,0.9883304165808889,0.001529989869932857,12.0,4,5,0.5,balanced,300,42
107,0.988290954992469,0.0015725542644459232,12.0,4,10,0.75,balanced_subsample,300,42
95,0.9882892499575094,0.0015144535801786662,12.0,4,2,0.75,balanced_subsample,300,42
101,0.9882892499575094,0.0015144535801786662,12.0,4,5,0.75,balanced_subsample,300,42
106,0.9882871721528463,0.0015388223034264114,12.0,4,10,0.5,balanced,300,42
105,0.9882435203705777,0.0015652916197417736,12.0,4,10,0.5,balanced_subsample,300,42
112,0.9865375285264374,0.002237148224776535,8.0,1,2,0.5,balanced,300,42
117,0.986537467951007,0.002210263477748826,8.0,1,5,0.5,balanced_subsample,300,42
121,0.9864990217657734,0.0020111793162999048,8.0,1,10,sqrt,balanced_subsample,300,42
109,0.986496702600171,0.002298454760096974,8.0,1,2,sqrt,balanced_subsample,300,42
123,0.9864945210975893,0.0022248572825561376,8.0,1,10,0.5,balanced_subsample,300,42
133,0.986455406734963,0.0018654211589914065,8.0,2,5,sqrt,balanced_subsample,300,42
130,0.9864452093217334,0.0023700593935471587,8.0,2,2,0.5,balanced,300,42
115,0.9864136954986854,0.0020438713596149403,8.0,1,5,sqrt,balanced_subsample,300,42
116,0.9864133949376612,0.0021333242955807507,8.0,1,5,sqrt,balanced,300,42
128,0.9864122957487949,0.0020695873047629275,8.0,2,2,sqrt,balanced,300,42
110,0.9864120423739366,0.0020055586149903847,8.0,1,2,sqrt,balanced,300,42
125,0.9864019021730733,0.0021623345136135667,8.0,1,10,0.75,balanced_subsample,300,42
113,0.9863993085860303,0.0022579834991617396,8.0,1,2,0.75,balanced_subsample,300,42
119,0.9863993085860303,0.0022579834991617396,8.0,1,5,0.75,balanced_subsample,300,42
134,0.9863654323917561,0.001861950744500838,8.0,2,5,sqrt,balanced,300,42
111,0.9863561739847496,0.0022718721288373365,8.0,1,2,0.5,balanced_subsample,300,42
127,0.9863234618731269,0.002153843610258485,8.0,2,2,sqrt,balanced_subsample,300,42
140,0.9863221670421156,0.0017982733252458157,8.0,2,10,sqrt,balanced,300,42
126,0.9863137381880612,0.00207175480967043,8.0,1,10,0.75,balanced,300,42
114,0.9863107504276767,0.0023106544543054688,8.0,1,2,0.75,balanced,300,42
118,0.9862691915069492,0.0021782472124074587,8.0,1,5,0.5,balanced,300,42
120,0.986264797553224,0.002323009216949246,8.0,1,5,0.75,balanced,300,42
139,0.986236260384187,0.0019518020811119233,8.0,2,10,sqrt,balanced_subsample,300,42
122,0.9862347316957596,0.0017993162894117483,8.0,1,10,sqrt,balanced,300,42
141,0.9862273687807234,0.002285070981078503,8.0,2,10,0.5,balanced_subsample,300,42
136,0.9862269622811285,0.0021450398002054007,8.0,2,5,0.5,balanced,300,42
135,0.9862252569546707,0.0022263377162583015,8.0,2,5,0.5,balanced_subsample,300,42
129,0.9861823527089097,0.002307946955408915,8.0,2,2,0.5,balanced_subsample,300,42
157,0.9861463634597655,0.001973525527399983,8.0,4,10,sqrt,balanced_subsample,300,42
158,0.9861455812731121,0.0022449171792611237,8.0,4,10,sqrt,balanced,300,42
146,0.9861031667370996,0.0018989439489147106,8.0,4,2,sqrt,balanced,300,42
152,0.9861031667370996,0.0018989439489147106,8.0,4,5,sqrt,balanced,300,42
124,0.9860926012065903,0.0022368379159680247,8.0,1,10,0.5,balanced,300,42
144,0.9860436683167549,0.0020163564828704697,8.0,2,10,0.75,balanced,300,42
143,0.986042244697666,0.0021585390250315924,8.0,2,10,0.75,balanced_subsample,300,42
145,0.9860095899345961,0.001982292017681035,8.0,4,2,sqrt,balanced_subsample,300,42
151,0.9860095899345961,0.001982292017681035,8.0,4,5,sqrt,balanced_subsample,300,42
142,0.986007897649406,0.0021692057233525467,8.0,2,10,0.5,balanced,300,42
148,0.9859622223653195,0.002051765527101276,8.0,4,2,0.5,balanced,300,42
154,0.9859622223653195,0.002051765527101276,8.0,4,5,0.5,balanced,300,42
