dataset_id,window_start,e_conn_count,e_unique_dst_ip,e_unique_dst_port,e_mean_duration,e_std_duration,e_mean_orig_bytes,e_mean_resp_bytes,e_mean_orig_pkts,e_mean_resp_pkts,e_tcp_ratio,e_udp_ratio,e_dns_ratio,e_ssl_ratio,e_http_ratio,e_rej_ratio,e_rst_ratio,e_interarrival_std,y
example2,1609876030,2,2,2,48.4212085,47.9097765,194.0,28119.0,9.0,24.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,2
example2,1609876035,5,4,3,22.34828,43.99260503308001,3184.6,2370.0,7.2,5.8,0.4,0.6,0.4,0.4,0.0,0.0,0.2,0.3972958587160055,2
example2,1609876070,2,2,2,30.252853,30.086911,1159.0,3467.0,6.5,8.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,2
example2,1609876125,4,3,2,0.68219875,0.4940626780598667,60.25,52530.5,14.25,39.75,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.2041487366796751,2
example2,1609876135,1,1,1,28.343655,0.0,43152.0,1689571.0,461.0,1271.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2
example2,1609876150,3,3,3,1.4227276666666666,1.708033428314238,2952.3333333333335,2660.3333333333335,6.666666666666667,6.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.14330339431762695,2
example2,1609876155,4,3,3,2.66904,2.556866274653311,10911.0,2600.25,14.0,12.0,0.75,0.25,0.0,0.25,0.5,0.0,0.25,1.6041678595077116,2
example2,1609876165,1,1,1,0.573002,0.0,6604.0,3114.0,10.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2
example2,1609876175,1,1,1,109.994955,0.0,7515.0,4234.0,14.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
example2,1609876285,4,2,2,0.6778205,0.7037388267498461,2664.0,2498.0,7.25,5.75,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.4010652539237633,2
example2,1609876305,1,1,1,110.333221,0.0,7132.0,6717.0,17.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
example2,1609876400,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example2,1609876510,4,3,2,0.35554050000000004,0.2636777023702422,1120.0,2825.0,7.25,8.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.024540618324122597,2
example2,1609876570,1,1,1,0.978297,0.0,1984.0,4605.0,11.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
example2,1609876580,9,5,3,0.7159742222222223,0.860617064756804,5315.222222222223,4295.888888888889,11.444444444444445,11.11111111111111,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.0,0.0,0.3625523272936331,2
example2,1609876585,1,1,1,0.61178,0.0,2685.0,4474.0,9.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
example2,1609876880,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
example2,1609877130,1,1,1,110.010862,0.0,28036.0,3071358.0,687.0,2285.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
example2,1609877145,1,1,1,237.747342,0.0,1146.0,1000727.0,645.0,727.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
example2,1609877160,2,2,2,8.2735135,8.1547455,605.0,40654.0,25.5,32.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,2
example2,1609877165,5,2,2,1.0539087999999999,1.8998413967084096,154.4,136.8,2.0,1.8,0.2,0.8,0.8,0.0,0.2,0.0,0.0,1.8996822893068055,2
example2,1609877170,2,2,2,35.821154,32.802776,550.0,152.0,6.5,2.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,2
example2,1609877180,59,22,4,2.4936898644067798,4.756353111673852,245.45762711864407,1922.1016949152543,7.779661016949152,8.338983050847459,0.6101694915254238,0.3898305084745763,0.3898305084745763,0.1864406779661017,0.0,0.11864406779661017,0.23728813559322035,0.139448903370453,2
example2,1609877185,20,10,4,2.00696275,5.665111346255057,160.35,1155.7,4.15,4.7,0.55,0.45,0.45,0.1,0.0,0.15,0.15,0.29309729976622306,2
example2,1609877190,23,12,4,1.6797183913043476,3.725002429586505,133.2608695652174,1086.6521739130435,3.5217391304347827,3.391304347826087,0.6956521739130435,0.30434782608695654,0.30434782608695654,0.043478260869565216,0.0,0.30434782608695654,0.34782608695652173,0.2604425818341329,2
example2,1609877195,11,9,4,0.7525853636363636,2.0169286294667432,53.09090909090909,529.0,2.090909090909091,1.8181818181818181,0.9090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.2727272727272727,0.2727272727272727,0.300107531619154,2
example2,1609877200,26,10,4,1.088388576923077,1.8698662140707816,59.23076923076923,412.65384615384613,2.3846153846153846,1.8461538461538463,0.7307692307692307,0.2692307692307692,0.2692307692307692,0.0,0.0,0.46153846153846156,0.46153846153846156,0.196237110974338,2
